	Category_1	Category_2	Category_3	Category_4
Karosserie Montage-->Türen-->Hinten Rechts-->	3.0			
Karosserie Montage-->Türen-->Vorne Links-->	5.0			
Karosserie Montage-->Türen-->Vorne Links-->Türschlösser Bowdenzüge	2.0			
Karosserie Montage-->Türen-->Vorne Rechts-->	5.0			
Karosserie Rohbau-->-->-->	480.0			
Karosserie Rohbau-->Aufbau-->-->	34.0			
Karosserie Rohbau-->Aufbau-->Dach-->	7.0			
Karosserie Rohbau-->Aufbau-->Radhaus hinten-->	1.0			
Karosserie Rohbau-->Aufbau-->Seitenteil-->	6.0			
Karosserie Rohbau-->Aufbau-->Säule A-->	8.0			
Karosserie Rohbau-->Boden-->-->	30.0			
Karosserie Rohbau-->Boden-->Boden vorn-->	1.0			
Karosserie Rohbau-->Boden-->Boden vorn-->Gehängeaufnahme	4.0			
Karosserie Rohbau-->Klappen-->-->	1.0			
Karosserie Rohbau-->Klappen-->Frontklappe-->	36.0			
Karosserie Rohbau-->Klappen-->Frontklappe-->Aussenteil	3.0			
Karosserie Rohbau-->Klappen-->Frontklappe-->Innenteil	19.0			
Karosserie Rohbau-->Klappen-->Frontklappe-->Scharnier	8.0			
Karosserie Rohbau-->Klappen-->Heckklappe-->	14.0			
Karosserie Rohbau-->Klappen-->Heckklappe-->Scharnier	3.0			
Karosserie Rohbau-->Türen-->-->	9.0			
Karosserie Rohbau-->Türen-->Hinten Links-->	11.0			
Karosserie Rohbau-->Türen-->Hinten Links-->Aussenteil	2.0			
Karosserie Rohbau-->Türen-->Hinten Rechts-->	17.0			
Karosserie Rohbau-->Türen-->Hinten Rechts-->Aussenteil	2.0			
Karosserie Rohbau-->Türen-->Vorne Links-->	29.0			
Karosserie Rohbau-->Türen-->Vorne Links-->Aussenteil	3.0			
Karosserie Rohbau-->Türen-->Vorne Rechts-->	4.0			
Karosserie Rohbau-->Türen-->Vorne Rechts-->Aussenteil	3.0			
Karosserie Rohbau-->Vorbau-->-->	4.0			
Karosserie Rohbau-->Vorbau-->Federbeinaufnahmen-->	3.0			
Karosserie Rohbau-->Vorbau-->Kotflügel-->	32.0			
Karosserie Rohbau-->Vorbau-->Längsträger vorn-->	8.0			
Karosserie_Montage-->-->-->	129.0			
Karosserie_Montage-->-->-->Türschlösser_Bowdenzüge	1.0			
Karosserie_Montage-->Anbauteile-->-->	1936.0			
